"ID","Bin","TaxonRelativeAbundance","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU1","Bin30",1.63057719828454e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","MAST-12C","norank_c__MAST-12C","norank_c__MAST-12C","norank_c__MAST-12C","unclassified_g__norank_c__MAST-12C"
"OTU2","Bin24",1.48963807753268e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU3","Bin70",6.95948661793445e-05,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Thecofilosea","unclassified_c__Thecofilosea","unclassified_c__Thecofilosea","unclassified_c__Thecofilosea","unclassified_c__Thecofilosea"
"OTU4","Bin26",9.93092051688455e-07,"Eukaryota","Amoebozoa","norank_k__Amoebozoa","Tubulinea","norank_c__Tubulinea","norank_c__Tubulinea","norank_c__Tubulinea","Copromyxa_microcystidis"
"OTU5","Bin22",1.48963807753268e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU6","Bin29",6.15226663882613e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU7","Bin30",1.65884264553798e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU8","Bin4",2.62727897435775e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU9","Bin20",2.62727897435775e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","Phyllopharyngea","unclassified_f__Phyllopharyngea","unclassified_f__Phyllopharyngea"
"OTU10","Bin62",1.48963807753268e-06,"Eukaryota","Fungi","Microsporidia","norank_p__Microsporidia","norank_p__Microsporidia","norank_p__Microsporidia","norank_p__Microsporidia","unclassified_g__norank_p__Microsporidia"
"OTU11","Bin59",4.55616803338128e-06,"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Candida_solani_g__Wickerhamomyces"
"OTU12","Bin27",3.05480460588705e-05,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Bacillariophyceae","norank_c__Bacillariophyceae","norank_c__Bacillariophyceae","unclassified_f__norank_c__Bacillariophyceae","unclassified_f__norank_c__Bacillariophyceae"
"OTU13","Bin8",1.92137625732215e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae"
"OTU14","Bin65",3.89863954316516e-06,"Eukaryota","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Udeniomyces","unclassified_g__Udeniomyces"
"OTU15","Bin35",9.93092051688455e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU16","Bin1",9.93092051688455e-07,"Eukaryota","norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota"
"OTU17","Bin29",7.88823180896486e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","Oligohymenophorea","Histiobalantium","Histiobalantium_minor"
"OTU18","Bin71",1.3541518923022e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU19","Bin64",6.3340632901937e-06,"Eukaryota","Amoebozoa","Myxogastria","norank_p__Myxogastria","norank_p__Myxogastria","norank_p__Myxogastria","unclassified_f__norank_p__Myxogastria","unclassified_f__norank_p__Myxogastria"
"OTU20","Bin35",1.48963807753268e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU21","Bin11",9.93092051688455e-07,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Conoidasida","Gregarinasina","unclassified_o__Gregarinasina","unclassified_o__Gregarinasina","unclassified_o__Gregarinasina"
"OTU22","Bin27",4.93655287219016e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Bacillariophyceae","norank_c__Bacillariophyceae","norank_c__Bacillariophyceae","unclassified_f__norank_c__Bacillariophyceae","unclassified_f__norank_c__Bacillariophyceae"
"OTU23","Bin38",2.73121636644544e-05,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","Prostomatea","Cryptocaryon","unclassified_g__Cryptocaryon"
"OTU24","Bin36",3.47582218090959e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Conoidasida","Gregarinasina","Eugregarinorida","Gregarina","unclassified_g__Gregarina"
"OTU25","Bin29",1.5338469640595e-05,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU26","Bin9",9.93092051688455e-07,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Xanthophyceae","norank_c__Xanthophyceae","norank_c__Xanthophyceae","norank_c__Xanthophyceae","Xanthophyceae_sp._IX3"
"OTU27","Bin64",3.12382500020198e-06,"Eukaryota","Discoba","Euglenozoa","Diplonemea","norank_c__Diplonemea","norank_c__Diplonemea","unclassified_f__norank_c__Diplonemea","unclassified_f__norank_c__Diplonemea"
"OTU28","Bin51",2.35635165994217e-06,"Eukaryota","Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi"
"OTU29","Bin58",1.48963807753268e-06,"Eukaryota","Animalia","unclassified_k__Animalia","unclassified_k__Animalia","unclassified_k__Animalia","unclassified_k__Animalia","unclassified_k__Animalia","unclassified_k__Animalia"
"OTU30","Bin46",1.18625677698235e-05,"Eukaryota","Fungi","Ascomycota","unclassified_p__Ascomycota","unclassified_p__Ascomycota","unclassified_p__Ascomycota","unclassified_p__Ascomycota","unclassified_p__Ascomycota"
"OTU31","Bin66",7.71729134294829e-06,"Eukaryota","Fungi","Basidiomycota","Agaricomycetes","unclassified_c__Agaricomycetes","unclassified_c__Agaricomycetes","unclassified_c__Agaricomycetes","unclassified_c__Agaricomycetes"
"OTU32","Bin28",1.56191250010099e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU33","Bin70",3.95809513830304e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU34","Bin26",1.65039572999716e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU35","Bin62",1.48963807753268e-06,"Eukaryota","Animalia","Nematozoa","Enoplea","Triplonchida","norank_o__Triplonchida","norank_o__Triplonchida","Eutobrilus_grandipapillatus"
"OTU36","Bin35",9.93092051688455e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU37","Bin16",9.93092051688455e-07,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Spirotrichea","Choreotrichia","norank_f__Choreotrichia","unclassified_g__norank_f__Choreotrichia"
"OTU38","Bin62",9.93092051688455e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU39","Bin20",1.38497641653379e-05,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Postciliodesmatophora","Heterotrichea","norank_o__Heterotrichea","Spirostomum","unclassified_g__Spirostomum"
"OTU40","Bin29",1.09455109657116e-05,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU41","Bin23",9.93092051688455e-07,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Litostomatea","Haptoria","unclassified_f__Haptoria","unclassified_f__Haptoria"
"OTU42","Bin1",2.69955339692606e-06,"Eukaryota","Amoebozoa","Archamoebae","norank_p__Archamoebae","norank_p__Archamoebae","norank_p__Archamoebae","norank_p__Archamoebae","Ripella_platypodia"
"OTU43","Bin62",2.49379780739282e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU44","Bin68",2.23352562675579e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU45","Bin73",4.96546025844228e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU46","Bin63",1.31082177625033e-05,"Eukaryota","Amoebozoa","norank_k__Amoebozoa","Discosea","Vannellida","norank_o__Vannellida","Vannella","uncultured_Eimeriidae_g__Vannella"
"OTU47","Bin1",2.97927615506537e-06,"Eukaryota","Amoebozoa","Archamoebae","norank_p__Archamoebae","norank_p__Archamoebae","norank_p__Archamoebae","norank_p__Archamoebae","Ripella_platypodia"
"OTU48","Bin71",8.61277762680596e-05,"Eukaryota","Animalia","Platyhelminthes","Rhabditophora","Rhabdocoela","norank_o__Rhabdocoela","norank_o__Rhabdocoela","unclassified_g__norank_o__Rhabdocoela"
"OTU49","Bin72",9.93092051688455e-07,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Glissomonadida","norank_c__Glissomonadida","norank_c__Glissomonadida","Bodomorpha","metagenome_g__Bodomorpha"
"OTU50","Bin68",9.38416407074393e-06,"Eukaryota","norank_d__Eukaryota","norank_d__Eukaryota","Choanoflagellida","norank_c__Choanoflagellida","unclassified_o__norank_c__Choanoflagellida","unclassified_o__norank_c__Choanoflagellida","unclassified_o__norank_c__Choanoflagellida"
"OTU51","Bin37",8.37732617258383e-05,"Eukaryota","Cryptophyceae","norank_k__Cryptophyceae","norank_k__Cryptophyceae","Cryptomonadales","norank_o__Cryptomonadales","unclassified_f__norank_o__Cryptomonadales","unclassified_f__norank_o__Cryptomonadales"
"OTU52","Bin26",1.70646134523761e-06,"Eukaryota","Amoebozoa","norank_k__Amoebozoa","Tubulinea","norank_c__Tubulinea","norank_c__Tubulinea","norank_c__Tubulinea","unclassified_g__norank_c__Tubulinea"
"OTU53","Bin8",1.02878333481577e-05,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Chrysophyceae","Ochromonadales","norank_o__Ochromonadales","Dinobryon","unclassified_g__Dinobryon"
"OTU54","Bin13",2.27528179365014e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Conoidasida","Gregarinasina","Eugregarinorida","norank_f__Eugregarinorida","uncultured_alveolate_f__Eugregarinorida"
"OTU55","Bin41",1.70646134523761e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU56","Bin50",0.0001258864487995,"Eukaryota","Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi"
"OTU57","Bin38",2.85286642712649e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","Prostomatea","Cryptocaryon","unclassified_g__Cryptocaryon"
"OTU58","Bin16",1.13764089682507e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","unclassified_c__Intramacronucleata","unclassified_c__Intramacronucleata","unclassified_c__Intramacronucleata","unclassified_c__Intramacronucleata"
"OTU59","Bin7",1.145745300489e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU60","Bin38",3.50298040989792e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","Prostomatea","Cryptocaryon","unclassified_g__Cryptocaryon"
"OTU61","Bin6",1.13764089682507e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU62","Bin65",3.2683738453386e-06,"Eukaryota","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Piskurozyma","Piskurozyma_taiwanensis"
"OTU63","Bin64",2.34216662209997e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU64","Bin10",2.27528179365014e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae"
"OTU65","Bin19",4.03036956087134e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","unclassified_o__Conthreep","unclassified_o__Conthreep","unclassified_o__Conthreep"
"OTU66","Bin42",1.49359740178782e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU67","Bin8",3.28416697121043e-05,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Chrysophyceae","Ochromonadales","norank_o__Ochromonadales","Dinobryon","uncultured_freshwater_eukaryote_g__Dinobryon"
"OTU68","Bin12",6.68956417861285e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Conoidasida","Gregarinasina","Eugregarinorida","unclassified_f__Eugregarinorida","unclassified_f__Eugregarinorida"
"OTU69","Bin7",1.13764089682507e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU70","Bin55",1.13764089682507e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU71","Bin8",4.23649754719822e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Chrysophyceae","Chromulinales","norank_o__Chromulinales","unclassified_f__norank_o__Chromulinales","unclassified_f__norank_o__Chromulinales"
"OTU72","Bin32",1.70646134523761e-06,"Eukaryota","Chloroplastida","Phragmoplastophyta","norank_p__Phragmoplastophyta","norank_p__Phragmoplastophyta","norank_p__Phragmoplastophyta","norank_p__Phragmoplastophyta","Closterium_sp._NIES-262"
"OTU73","Bin26",1.70646134523761e-06,"Eukaryota","Amoebozoa","norank_k__Amoebozoa","Tubulinea","norank_c__Tubulinea","norank_c__Tubulinea","norank_c__Tubulinea","Hartmannella_cantabrigiensis"
"OTU74","Bin41",1.73915189244607e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU75","Bin52",1.70646134523761e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU76","Bin1",1.13764089682507e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU77","Bin44",1.80865033658587e-06,"Eukaryota","Discoba","Euglenozoa","Kinetoplastea","Trypanosomatida","norank_o__Trypanosomatida","unclassified_f__norank_o__Trypanosomatida","unclassified_f__norank_o__Trypanosomatida"
"OTU78","Bin38",7.63622155505753e-06,"Eukaryota","Cryptophyceae","Kathablepharidae","norank_p__Kathablepharidae","norank_p__Kathablepharidae","norank_p__Kathablepharidae","norank_p__Kathablepharidae","uncultured_Katablepharidaceae"
"OTU79","Bin26",4.00605634987955e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU80","Bin27",1.13764089682507e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Bacillariophyceae","norank_c__Bacillariophyceae","norank_c__Bacillariophyceae","unclassified_f__norank_c__Bacillariophyceae","unclassified_f__norank_c__Bacillariophyceae"
"OTU81","Bin11",1.70646134523761e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU82","Bin78",1.145745300489e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU83","Bin5",1.13764089682507e-06,"Eukaryota","Amoebozoa","norank_k__Amoebozoa","norank_k__Amoebozoa","norank_k__Amoebozoa","norank_k__Amoebozoa","norank_k__Amoebozoa","Ischnamoeba_sp._FN352"
"OTU84","Bin36",1.15384970415294e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU85","Bin5",1.7307745562294e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Labyrinthulomycetes_p__SAR_p__SAR_d__Eukaryota","norank_c__Labyrinthulomycetes_p__SAR_p__SAR_d__Eukaryota","Amphitraemidae","norank_f__Amphitraemidae","unclassified_g__norank_f__Amphitraemidae"
"OTU86","Bin69",1.15384970415294e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU87","Bin64",4.60729441294781e-06,"Eukaryota","Discoba","Euglenozoa","Kinetoplastea","norank_c__Kinetoplastea","norank_c__Kinetoplastea","Ichthyobodo","unclassified_g__Ichthyobodo"
"OTU88","Bin32",1.15384970415294e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU89","Bin3",2.86480572866972e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU90","Bin67",4.42629092733898e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU91","Bin36",0.000189231351481081,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU92","Bin35",1.15384970415294e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU93","Bin40",1.15384970415294e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU94","Bin20",1.48770920005181e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU95","Bin24",1.03846473373764e-05,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU96","Bin27",2.88462426038234e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Bacillariophyceae","norank_c__Bacillariophyceae","norank_c__Bacillariophyceae","unclassified_f__norank_c__Bacillariophyceae","unclassified_f__norank_c__Bacillariophyceae"
"OTU97","Bin20",1.26193363728788e-05,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","Oligohymenophorea","norank_f__Oligohymenophorea","uncultured_microeukaryote_f__Oligohymenophorea"
"OTU98","Bin18",6.92309822491762e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Litostomatea","unclassified_o__Litostomatea","unclassified_o__Litostomatea","unclassified_o__Litostomatea"
"OTU99","Bin68",3.46154911245881e-06,"Eukaryota","Animalia","Rotifera","Monogononta","Ploimida","norank_o__Ploimida","norank_o__Ploimida","unclassified_g__norank_o__Ploimida"
"OTU100","Bin30",1.15384970415294e-06,"Eukaryota","Amoebozoa","SAR_k__Amoebozoa","Labyrinthulomycetes_p__SAR","norank_c__Labyrinthulomycetes_p__SAR","norank_c__Labyrinthulomycetes_p__SAR","Sorodiplophrys","unclassified_g__Sorodiplophrys"
"OTU101","Bin74",1.15384970415294e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU102","Bin68",1.15384970415294e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU103","Bin20",2.40980233566033e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","Colpodea","unclassified_f__Colpodea","unclassified_f__Colpodea"
"OTU104","Bin8",1.15384970415294e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae"
"OTU105","Bin17",1.15384970415294e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Spirotrichea","Hypotrichia","unclassified_f__Hypotrichia","unclassified_f__Hypotrichia"
"OTU106","Bin17",2.88462426038234e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Spirotrichea","Hypotrichia","unclassified_f__Hypotrichia","unclassified_f__Hypotrichia"
"OTU107","Bin70",1.15384970415294e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU108","Bin6",5.12628526391284e-06,"Eukaryota","norank_d__Eukaryota","Preaxostyla","norank_p__Preaxostyla","norank_p__Preaxostyla","norank_p__Preaxostyla","Paratrimastix","unclassified_g__Paratrimastix"
"OTU109","Bin69",4.10421847296619e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU110","Bin73",3.14193191530375e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Cercomonadidae","norank_c__Cercomonadidae","norank_c__Cercomonadidae","Paracercomonas","unclassified_g__Paracercomonas"
"OTU111","Bin64",1.15384970415294e-06,"Eukaryota","Discoba","Euglenozoa","Euglenida","norank_c__Euglenida","unclassified_o__norank_c__Euglenida","unclassified_o__norank_c__Euglenida","unclassified_o__norank_c__Euglenida"
"OTU112","Bin70",1.7307745562294e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
